,Gene
3050,arnT
3051,arnD
3052,yfaL
3053,ubiG
3054,arnB
3056,nudI
3057,yfaZ
3058,yfaY
3059,yfaD
3060,glpC
3061,arnA
3062,glpA
3063,glpT
3064,glpQ
3066,inaA
3067,yfaE
3068,nrdB
3069,nrdA
3071,nuoK
3072,gyrA
3073,ccmB
3074,yfaT
3077,yfaP
3078,rcsC
3079,rcsB
3080,rcsD
3081,micF
3082,apbE
3083,ada
3084,alkB
3085,yojI
3086,mqo
3087,eco
3088,nuoL
3089,yfaA
3090,napF
3091,napD
3092,napA
3093,napG
3094,napH
3096,napC
3098,ccmC
3099,ccmD
3100,ccmE
3101,ccmF
3102,dsbE
3103,ccmH
3104,narP
3106,yejL
3107,yejE
3108,rplY
3109,radD
3110,rsuA
3111,bcr
3114,yejF
3117,pdeN
3118,mepS
3119,lpxT
3120,yeiR
3121,yeiQ
3122,yejB
3123,yeiP
3125,yeiB
3127,fruA
3132,rihB
3133,fruB
3135,yeiH
3136,yeiE
3137,lysP
3140,folE
3141,nfo
3142,galS
3144,yohP
3148,cdd
3149,yohK
3150,yohJ
3152,dusC
3155,yohD
3156,yohC
3157,pbpG
3158,dld
3164,yohO
3165,mlrA
3166,btsS
3167,btsR
3168,yehS
3169,yehR
3170,yehW
3177,bglX
3188,thiM
3189,thiD
3191,yegW
3192,yegV
3198,yegS
3208,apbC
3210,lysA
3211,mdtB
3212,yegQ
3214,CyaR_RyeE
3216,yegP
3217,baeR
3218,baeS
3219,mdtD
3222,mdtA
3223,mdtK
3224,alkA
3226,yegL
3229,yegD
3231,udk
3232,dcd
3233,asmA
3256,dacD
3258,gndA
3267,hisF
3268,sbcB
3270,hisB
3271,hisC
3272,hisD
3273,hisG
3275,hisH
3277,hisA
3278,yeeY
3279,STnc240
3280,yoeI
3281,plaP
3284,yeeZ
3286,yniB
3287,katE
3288,cedA
3290,tcyP
3291,ydjM
3293,yniC
3294,ydiZ
3295,pfkB
3296,ydiY
3298,thrS
3299,yniA
3300,infC
3302,nlpC
3303,pheS
3304,pheT
3305,ihfA
3307,btuC
3308,btuE
3310,btuD
3312,ydiE
3313,aroH
3314,ppsR
3315,ppsA
3322,aroD
3327,ydiK
3328,ydiJ
3329,menI
3330,ydiH
3331,rydB
3333,rprA
3335,sufD
3336,ydhQ
3337,ldtE
3338,lpp
3339,pykF
3340,fumD
3341,ydhY
3342,ydhV
3343,sufE
3344,ydhW
3348,ydhR
3349,HPnc0260
3350,phsC
3352,grxD
3353,punR
3354,purR
3355,STnc550
3356,ynhF
3358,sodB
3360,rnt
3361,gloA
3362,nemA
3363,nemR
3365,mepH
3366,ydhF
3367,ydhI
3368,rsxB
3369,putP
3370,gstA
3371,slyA
3372,slyB
3373,anmK
3374,mliC
3375,pdxH
3376,rsxA
3377,tyrS
3378,dtpA
3380,nth
3381,rsxE
3382,rsxG
3383,rsxD
3385,pdxY
3386,ynfD
3388,ydgJ
3389,add
3391,malY
3392,malI
3395,ydgI
3398,folM
3401,tus
3402,rstB
3405,pntA
3406,ynfG
3408,ynfM
3409,pntB
3411,mdtJ
3413,ydgD
3415,ydgU
3416,ynfL
3417,ydgH
3418,mlc
3419,clcB
3420,dmsD
3421,ynfH
3422,asr
3423,rstA
3424,speG
3427,ydfH
3428,ynfB
3432,ydfJ
3434,ydfG
3441,ydfZ
3445,yejK
3448,uxaB
3451,yneJ
3452,sad
3453,glsB
3471,ydeN
3472,efeB
3473,ynfC
3475,ydeM
3479,efeO
3481,ydeO
3484,phoH
3485,Ysr251
3486,punC
3487,ydgC
3490,rutG
3491,rutR
3492,rutA
3493,rutB
3494,rutC
3495,rutD
3496,rutE
3498,rutF
3499,yccM
3500,putA
3501,cbpM
3502,wrbA
3503,yccJ
3504,agp
3507,torD
3508,torA
3509,torC
3510,torR
3511,torT
3512,torS
3513,cbpA
3514,uup
3517,appB
3523,tusE
3524,appA
3525,appC
3526,yccA
3527,hyaF
3528,hyaD
3529,hyaC
3530,hyaB
3531,hyaA
3533,rlmI
3534,pqiC
3535,pqiA
3537,hspQ
3538,yccU
3539,yccT
3540,mgsA
3541,helD
3542,pqiB
3543,yccF
3544,sulA
3545,yccX
3546,ompA
3547,matP
3548,ycbZ
3549,fabA
3550,rmf
3551,yccS
3552,efeU
3553,ycbX
3554,hycD
3555,srlR
3557,zapC
3558,pyrD
3561,pncB
3564,pepN
3567,ssuD
3568,ssuC
3570,ssuB
3571,ompF
3572,srlB
3573,cfa
3574,alaS
3575,aspC
3576,srlD
3577,recX
3578,asnS
3579,recA
3580,pncC
3581,mltB
3582,srlA
3583,srlE
3584,hycC
3585,gutQ
3586,norR
3587,norV
3588,norW
3589,hypF
3590,hydN
3592,hycA
3594,hycB
3595,hycI
3596,hycH
3597,hycG
3598,hycF
3599,hycE
3601,gutM
3602,hypB
3604,rlmL
3605,pphB
3606,hypC
3608,hypE
3610,ygbA
3611,ubiD
3618,mutS
3620,hyaE
3622,cysC
3623,pcm
3624,surE
3625,truD
3626,ispF
3627,ispD
3628,ftsB
3629,ygbE
3630,cysD
3631,iap
3632,cysN
3633,yqeG
3642,cysI
3643,cysJ
3644,queD
3648,cysH
3656,ppdA
3657,pyrG
3658,queE
3661,gcvB
3662,eno
3666,relA
3667,rlmD
3670,mazG
3672,yqcA
3673,ygdD
3674,fucO
3675,csrB
3676,syd
3677,queF
3678,ygdH
3679,sdaC
3680,sdaB
3681,yqcC
3682,ygdG
3683,truC
3684,fucI
3685,fucK
3686,fucU
3687,fucR
3688,rlmM
3689,fucA
3690,gcvA
3691,argA
3692,csdE
3693,tcdA
3694,mltA
3695,csdA
3696,amiC
3697,thyA
3698,recB
3699,ptrA
3700,recC
3703,recD
3705,lgt
3706,kduI
3707,OmrA-B
3708,ygdT
3709,mutH
3710,ygdQ
3711,ygdR
3712,tas
3713,lplT
3714,rppH
3715,aas
3716,ptsP
3717,galR
3719,araE
3720,kduD
3721,nlpD
3722,yqeF
3745,actS
3766,yqfG
3769,idi
3770,prfB
3772,xerD
3773,fldB
3774,ygfX
3775,sdhE
3776,ygfZ
3777,yqfA
3778,yqfB
3779,bglA
3780,recJ
3781,gcvP
3782,gcvH
3783,gcvT
3785,ubiI
3786,ubiH
3787,pepP
3788,ygfB
3789,dsbC
3791,serA
3792,rpiA
3794,argP
3800,yggE
3801,argO
3802,mscS
3803,fbaA
3804,mepA
3805,aroC
3810,cysA
3812,pgk
3814,cmtB
3815,tkt
3816,loiP
3817,yfcL
3818,epmC
3819,yfcA
3821,6S
3822,prmB
3826,sixA
3827,fadJ
3828,fadI
3829,yfcZ
3830,fadL
3832,mlaA
3833,yfdC
3835,fau
3836,smrB
3851,lpxP
3855,alaC
3858,ypdF
3860,fryB
3861,glk
3862,cysT
3864,gltX
3866,nupC
3868,yfeC
3871,cysZ
3873,yfeH
3875,ligA
3876,zipA
3877,ptsH
3878,ptsI
3879,crr
3880,pdxK
3881,yfeK
3882,cysM
3883,cysK
3885,cysW
3886,yffB
3887,ypeA
3889,murQ
3890,murP
3892,yfeX
3893,yfeY
3894,ucpA
3895,yfeZ
3896,eutH
3897,hemF
3898,eutR
3903,amiA
3904,cysP
3906,ypfM
3907,maeB
3908,eutN
3909,eutM
3910,eutT
3911,eutQ
3912,eutE
3913,eutS
3914,eutJ
3915,tktB
3916,ypfG
3917,nudK
3918,aegA
3919,narQ
3922,eutA
3923,ypfH
3924,sseA
3926,dapA
3927,tmcA
3928,ypfJ
3931,purC
3933,gcvR
3935,bcp
3939,bamC
3947,perM
3948,bepA
3949,uraA
3951,upp
3952,purM
3953,purN
3954,ppk
3955,ppx
3956,yfgD
3957,ryfA
3959,guaA
3960,sroE
3961,guaB
3962,xseA
3963,der
3964,bamB
3965,pepB
3966,yfgM
3967,ispG
3968,sseB
3969,rodZ
3970,rlmN
3971,ndk
3972,pbpC
3974,hisS
3975,yfgG
3976,fdx
3978,ypfN
3979,trmJ
3980,hscA
3981,hscB
3982,iscA
3983,iscU
3984,iscS
3986,suhB
3987,iscX
3989,csiE
3990,hcaT
3993,iscR
3995,dapE
3996,ypdB
3997,hmp
3998,yphC
4003,srmB
4004,glyA
4006,qseF
4007,qseG
4008,qseE
4009,GlmZ_SraJ
4010,GlmY_tke1
4011,mltF
4012,glnB
4014,yfhb
4015,nadB
4017,ohsC_RNA
4018,pdxJ
4019,recO
4020,era
4022,rnc
4023,yfhH
4024,lepA
4025,asrC
4026,rseC
4027,rseB
4028,rseA
4029,rpoE
4030,lepB
4031,yphB
4032,ilvA
4033,eamB
4034,grcA
4035,ung
4036,yfiF
4037,trxC
4038,yfiP
4039,patZ
4040,pssL
4041,pssA
4042,yfiM
4044,yphA
4046,trnW
4047,rep
4049,yifB
4051,ilvG
4052,ilvM
4053,ilvE
4054,ilvD
4055,hdfR
4056,ilvY
4057,ilvC
4058,ppiC
4060,yifE
4061,gppA
4062,purL
4063,trxA
4065,hemC
4066,rho
4067,rfe
4068,wzzE
4069,wecB
4070,yigB
4071,wecC
4072,rffC
4073,rffA
4074,rffT
4075,wzyE
4077,yifK
4079,xerC
4080,trnH
4081,yigA
4082,hemY
4083,hemX
4084,hemD
4085,cyaY
4086,yifL
4087,dapF
4088,cyaA
4089,uvrD
4090,wzxE
4091,metE
4092,pldA
4094,rhlB
4095,rarD
4096,yigI
4097,recQ
4098,ysgA
4099,rhtC
4100,rhtB
4101,pldB
4102,yigL
4103,yigM
4104,metR
4105,udp
4106,ubiE
4108,trkH
4109,rfaH
4110,ubiJ
4111,Erse
4112,ubiB
4113,tatA
4114,hemG
4115,tatC
4116,tatD
4117,tatB
4118,rmuC
4119,fre
4120,fadA
4121,fadB
4122,pepQ
4123,yigZ
