Strain,Buffer,Experiment,carbon_source,growth_rate,estimated_phiRb,estimated_nu_inv_hr
ECOR38,N-C-,Growth rate expt_I,Succinate,0.709261,0.1083493331001831,2.068367740956301
ECOR38,N-C-,Yield expt (in glucose),Glucose,0.841016,0.11965269421164575,2.536629252942274
ECOR38,N-C-,Yield expt (in acetate),Acetate,,,
ECOR38,N-C-,Diauxie expt,Glucose,0.751807,0.11199938662261709,2.2161540520099448
ECOR38,N-C-,Preferred sugar expt,Mixed carbon,0.86004154,0.12128490967945021,2.6069073187035756
ECOR38,MOPS,Preferred sugar expt,Mixed carbon,0.875518431,0.12261268386529324,2.664593957757096
ECOR39,LB,Growth rate expt_I,LB,2.525073,0.26412921808767675,13.537945380123071
ECOR39,LB,Growth rate expt_II,LB,2.32620385,0.24706808328156216,11.423117297177482
ECOR39,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.736918,0.19651280446538655,6.828081159766271
ECOR39,MOPS,soft_agar expt_I,Glycerol,0.0355,0.050546867267234126,0.08952315191463782
ECOR39,MOPS,soft_agar expt_I,Glu+CAA,1.3111,0.15998155615025006,4.504744187987104
ECOR39,MOPS,soft_agar expt_I,Gly+CAA,1.215,0.15173706445876542,4.0591198278430936
ECOR39,MOPS,swimming expt_I,Gly+CAA,1.19,0.1495922955483896,3.947201732335464
ECOR39,N-C-,Growth rate expt_I,Glucose,0.90373105,0.12503306578975237,2.7709629719889
ECOR39,N-C-,Growth rate expt_II,Glucose,0.88803162,0.1236861998147675,2.711577261728343
ECOR39,N-C-,Growth rate expt_I,Glycerol,0.70069451,0.10761440744326128,2.038992531390254
ECOR39,N-C-,Growth rate expt_I,Acetate,0.31308517,0.07436110897112963,0.8300765386828328
ECOR39,N-C-,Growth rate expt_II,Acetate,0.31313735,0.07436558553279936,0.8302248890979738
ECOR39,N-C-,Growth rate expt_I,Maltose,0.815911,0.11749891727184636,2.444950244218435
ECOR39,N-C-,Growth rate expt_I,Fructose,0.688345,0.10655493363900627,1.9968662581395968
ECOR39,N-C-,Growth rate expt_I,Succinate,0.69369,0.10701348523204463,2.015067019287742
ECOR39,N-C-,Yield expt (in glucose),Glucose,0.903731,0.12503306150021454,2.7709627820717198
ECOR39,LB,R/P expt,LB,2.5251,0.2641315344381,13.538258864594518
ECOR39,MOPS,R/P expt,Glu+CAA+ACGU,1.7369,0.19651126023177107,6.827968795728154
ECOR39,N-C-,R/P expt,Glu+CAA,1.2131,0.15157406202157686,4.0505575688946305
ECOR39,N-C-,R/P expt,Glucose,0.8767,0.12271405156355979,2.669017220975724
ECOR39,N-C-,R/P expt,Glucose,0.86555,0.12175748462953218,2.627385377739924
ECOR39,N-C-,R/P expt,Glycerol,0.8099,0.11698322903503558,2.4231750869726967
ECOR39,N-C-,R/P expt,Glycerol,0.78965,0.11524596621763117,2.350312087100253
ECOR39,N-C-,R/P expt,Acetate,0.313,0.07435380217240575,0.8298344035859107
ECOR39,N-C-,R/P expt,Acetate,0.3328,0.07605245914942341,0.8863791565936164
ECOR39,N-C-,Yield expt (in acetate),Acetate,,,
ECOR39,N-C-,Diauxie expt,Glucose,0.865522,0.12175508248835255,2.627281136823708
ECOR39,N-C-,Preferred sugar expt,Mixed carbon,0.9492869,0.12894133662038215,2.946106043905512
ECOR39,MOPS,Preferred sugar expt,Mixed carbon,0.91267027,0.12579996823531275,2.8049975173896944
ECOR41,LB,Growth rate expt_I,LB,2.56186568,0.267285689935413,13.972502468817062
ECOR41,LB,Growth rate expt_II,LB,2.34678614,0.2488338535094157,11.625352894165548
ECOR41,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.788339,0.20092425095100394,7.154761163966156
ECOR41,MOPS,soft_agar expt_I,Glycerol,0.8221,0.118029876263299,2.4674408974396367
ECOR41,MOPS,soft_agar expt_I,Glu+CAA,1.2469,0.15447378958840496,4.20428617236813
ECOR41,MOPS,soft_agar expt_I,Gly+CAA,1.197,0.15019283084329482,3.9783773920339245
ECOR41,MOPS,swimming expt_I,Gly+CAA,1.2,0.15045020311253993,3.9917766541923605
ECOR41,N-C-,Growth rate expt_I,Glucose,0.92291717,0.12667905753722195,2.8442094336686887
ECOR41,N-C-,Growth rate expt_II,Glucose,0.88506279,0.12343150164339986,2.700402239743027
ECOR41,N-C-,Growth rate expt_III,Glucose,0.89914219,0.12463938401926968,2.7535539939123725
ECOR41,N-C-,Growth rate expt_I,Glycerol,0.76580312,0.11320012434429265,2.265470626415755
ECOR41,N-C-,Growth rate expt_II,Glycerol,0.77096521,0.11364298395007513,2.2837485827681188
ECOR41,N-C-,Growth rate expt_III,Glycerol,0.78791709,0.11509729855793199,2.3441118876459797
ECOR41,N-C-,Growth rate expt_I,Acetate,0.06392205,0.052985216435600016,0.1580820844189936
ECOR41,N-C-,Growth rate expt_II,Acetate,0.04906944,0.05171099978896253,0.1303132629473246
ECOR41,N-C-,Growth rate expt_III,Acetate,0.0630215,0.05290795756991046,0.1556339015399401
ECOR41,N-C-,Growth rate expt_I,Maltose,0.768136,0.11340026388411815,2.2737249446650263
ECOR41,N-C-,Growth rate expt_I,Fructose,0.711989,0.10858337028368331,2.0777488266176047
ECOR41,N-C-,Growth rate expt_I,Succinate,0.65833,0.10397992408520906,1.8955552997044276
ECOR41,N-C-,Yield expt (in glucose),Glucose,0.939529,0.1281041989983599,2.90823311741842
ECOR41,MOPS,Yield expt (in glycerol),Glycerol,0.72278,0.10950913833615791,2.114983460070882
ECOR41,MOPS,Yield expt (in galactose),Galactose,0.63,0.10154947195597117,1.8013052245449261
ECOR41,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.26,0.1555976484974419,4.2646816594478345
ECOR41,N-C-,Yield expt (in acetate),Acetate,,,
ECOR41,N-C-,Diauxie expt,Glucose,0.794629,0.11567311839382162,2.3681571908306176
ECOR41,N-C-,Preferred sugar expt_II,Mixed carbon,0.89416755,0.12421260589077719,2.7347289899601104
ECOR41,N-C-,Preferred sugar expt_I,Mixed carbon,0.92088636,0.12650483281118674,2.8364211801923447
ECOR41,MOPS,Preferred sugar expt,Mixed carbon,0.883065098,0.1232601181356356,2.6928924996282495
ECOR42,LB,Growth rate expt_I,LB,2.16637697,0.23335641435090745,9.964898055391096
ECOR42,LB,Growth rate expt_II,LB,2.34899258,0.2490231456660001,11.647243628963738
ECOR42,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.892665,0.20987445740475866,7.854429445621896
ECOR42,MOPS,soft_agar expt_I,Glycerol,0.7526,0.11206741869245421,2.2189388930834655
ECOR42,MOPS,soft_agar expt_I,Glu+CAA,1.399,0.16752256363913146,4.935121795549938
ECOR42,MOPS,soft_agar expt_I,Gly+CAA,1.278,0.15714188211291247,4.348423862897373
ECOR42,MOPS,swimming expt_I,Gly+CAA,1.14,0.14530275772763795,3.72809222279905
ECOR42,N-C-,Growth rate expt_I,Glucose,0.85764154,0.12107901186405415,2.5980035652296594
ECOR42,N-C-,Growth rate expt_II,Glucose,0.85714434,0.12103635669996458,2.5961603979082177
ECOR42,N-C-,Growth rate expt_I,Glycerol,0.69411082,0.1070495876981592,2.016502059565289
ECOR42,N-C-,Growth rate expt_I,Acetate,0.34135157,0.07678610480825951,0.9109595711777347
ECOR42,N-C-,Growth rate expt_II,Acetate,0.32560773,0.07543542886578225,0.865780302111759
ECOR42,N-C-,Growth rate expt_I,Maltose,0.81349,0.11729121785056557,2.436171928929072
ECOR42,N-C-,Growth rate expt_I,Fructose,0.654143,0.10362071818809931,1.8815424353552788
ECOR42,N-C-,Growth rate expt_I,Succinate,0.702093,0.10773438495820015,2.0437794552145636
ECOR42,N-C-,Yield expt (in glucose),Glucose,0.85764154,0.12107901186405415,2.5980035652296594
ECOR42,N-C-,Yield expt (in acetate),Acetate,,,
ECOR42,N-C-,Diauxie expt,Glucose,0.500481,0.09043793897585253,1.386638175803703
ECOR42,N-C-,Preferred sugar expt,Mixed carbon,0.91036231,0.1256019666011371,2.7961949464719598
ECOR42,MOPS,Preferred sugar expt,Mixed carbon,1.017712921,0.13481165672044304,3.217336608441968
ECOR51,LB,Growth rate expt_I,LB,2.01,0.21994071580871652,8.706388659349821
ECOR51,LB,Growth rate expt_II,LB,2.11,0.22851979145021983,9.49360589627591
ECOR51,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.359335,0.1641196732859292,4.738102148067465
ECOR51,MOPS,soft_agar expt_I,Glycerol,0.5262,0.09264439144009076,1.4669285833446941
ECOR51,MOPS,soft_agar expt_I,Glu+CAA,0.8412,0.11966847971082611,2.537305601205859
ECOR51,MOPS,soft_agar expt_I,Gly+CAA,1.09,0.1410132199068863,3.5150662141595514
ECOR51,MOPS,swimming expt_I,Gly+CAA,1.02,0.135007866957834,3.2265768415965312
ECOR51,N-C-,Growth rate expt_I,Glucose,0.28745043,0.07216188523602692,0.7576197326525991
ECOR51,N-C-,Growth rate expt_II,Glucose,0.29940171,0.07318719458735477,0.791295148149946
ECOR51,N-C-,Growth rate expt_I,Glycerol,0.56581908,0.09604334228175847,1.5925708096702846
ECOR51,N-C-,Growth rate expt_I,Acetate,0.33058722,0.07586262307944334,0.8800344716719801
ECOR51,N-C-,Growth rate expt_II,Acetate,0.31100812,0.07418291728051778,0.8241742431742994
ECOR51,N-C-,Growth rate expt_I,Maltose,0.571163,0.09650180122077989,1.6097026229463545
ECOR51,N-C-,Growth rate expt_I,Fructose,0.441328,0.08536315836163409,1.2056583871147704
ECOR51,N-C-,Growth rate expt_I,Succinate,0.567075,0.09615108860855523,1.5965931128909725
ECOR51,N-C-,Growth rate expt_I,Lactose,0.48972319,0.08951501831858333,1.353345532356208
ECOR51,MOPS,Yield expt (in fru_glu),fru_glu,0.509316,0.09119590030877935,1.4141082583051308
ECOR51,MOPS,Yield expt (in mal_glu),mal_glu,0.457956,0.08678968705930326,1.2560213393734576
ECOR51,MOPS,Yield expt (in fru_mal),fru_mal,0.503935,0.09073426024851006,1.3973636757018484
ECOR51,N-C-,Yield expt (in glucose),Glucose,0.28745043,0.07216188523602692,0.7576197326525991
ECOR51,N-C-,Yield expt (in acetate),Acetate,,,
ECOR51,N-C-,Diauxie expt,Glucose,0.263347,0.07009403374413012,0.6902541737100978
ECOR51,N-C-,Preferred sugar expt,Mixed carbon,0.67593069,0.10548990059373556,1.954780054523529
ECOR51,MOPS,Preferred sugar expt,Mixed carbon,0.7108706,0.10848742190170874,2.07390130167326
ECOR51,N-C-,cAMP_I,Glucose,0.29218603,0.07256815594210594,0.7709415232499653
ECOR51,N-C-,cAMP_I,Fructose,0.29243562,0.07258956845699957,0.7716444422193425
ECOR51,N-C-,cAMP_I,Maltose,0.58320949,0.09753527871002601,1.6484853111729585
ECOR51,N-C-,cAMP_I,Acetate,0.34435887,0.07704410335002643,0.9196266251834952
ECOR51,N-C-,cAMP_II,Glucose,0.2781065,0.07136026241343779,0.7314177806321761
ECOR51,N-C-,cAMP_II,Fructose,0.31416825,0.07445402722358761,0.8331565142926888
ECOR51,N-C-,cAMP_II,Maltose,0.58296107,0.09751396657031738,1.647683247306584
ECOR51,N-C-,cAMP_II,Acetate,0.35496329,0.07795386456316913,0.9502844055203761
ECOR53,LB,Growth rate expt_I,LB,2.42717025,0.25573006711006496,12.450400231363432
ECOR53,LB,Growth rate expt_II,LB,2.42077715,0.255181598225228,12.38264465150301
ECOR53,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.861805,0.20722695466179075,7.642092043115233
ECOR53,MOPS,soft_agar expt_I,Glycerol,,,
ECOR53,MOPS,soft_agar expt_I,Glu+CAA,1.053,0.13783896191953007,3.361196051258807
ECOR53,MOPS,soft_agar expt_I,Gly+CAA,1.131,0.14453064091990264,3.6893060186959783
ECOR53,MOPS,swimming expt_I,Gly+CAA,1.13,0.1444448501634876,3.6850085402330075
ECOR53,N-C-,Growth rate expt_I,Glucose,0.58705514,0.09786519993243349,1.6609139916066002
ECOR53,N-C-,Growth rate expt_II,Glucose,0.5650659,0.09597872639984178,1.5901597932663538
ECOR53,N-C-,Growth rate expt_III,Glucose,0.54774191,0.09449248819361533,1.5349455530086789
ECOR53,N-C-,Growth rate expt_I,Glycerol,0.53527341,0.09342280614725448,1.4954912805657194
ECOR53,N-C-,Growth rate expt_II,Glycerol,0.37916878,0.08003047185966565,1.0208275395414206
ECOR53,N-C-,Growth rate expt_III,Glycerol,0.42395695,0.08387288284241073,1.153463783355175
ECOR53,N-C-,Growth rate expt_I,Acetate,0.07058558,0.053556885714694275,0.17575347051577875
ECOR53,N-C-,Growth rate expt_II,Acetate,0.07182689,0.05366337863853982,0.17899967874122785
ECOR53,N-C-,Growth rate expt_III,Acetate,0.06485066,0.053064882589914576,0.16058452828018013
ECOR53,N-C-,Growth rate expt_I,Maltose,0.638218,0.10225450039218992,1.8285097644515942
ECOR53,N-C-,Growth rate expt_I,Fructose,0.431347,0.08450688082185565,1.1756165979638387
ECOR53,N-C-,Growth rate expt_I,Succinate,0.317025,0.07469910996697626,0.8412876109272324
ECOR53,N-C-,Yield expt (in glucose),Glucose,0.736862,0.11071724376799442,2.1638793478923435
ECOR53,MOPS,Yield expt (in glycerol),Glycerol,0.117,0.05753881391505931,0.29629555128215257
ECOR53,MOPS,Yield expt (in galactose),Galactose,0.173,0.06234309627430115,0.4441025313716159
ECOR53,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.12,0.1435869425993373,3.6421661077289893
ECOR53,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.861805,0.20722695466179075,7.642092043115233
ECOR53,N-C-,Yield expt (in acetate),Acetate,,,
ECOR53,N-C-,Diauxie expt,Glucose,0.776233,0.11409491163881068,2.302450484183823
ECOR53,N-C-,Preferred sugar expt_I,Mixed carbon,0.85299156,0.12068008656253937,2.580784298105723
ECOR53,N-C-,Preferred sugar expt_II,Mixed carbon,0.85213015,0.12060618554705589,2.577599003037144
ECOR53,MOPS,Preferred sugar expt,Mixed carbon,0.7357,0.11061755490904016,2.159831445126063
ECOR53,N-C-,cAMP_I,Glucose,0.81401515,0.11733627086629692,2.438075141869928
ECOR53,N-C-,cAMP_I,Fructose,0.29296438,0.0726349311773616,0.773133848939381
ECOR53,N-C-,cAMP_I,Acetate,0.11219631,0.057126701716375974,0.28377059870563026
ECOR53,N-C-,cAMP_II,Glucose,0.6665376,0.10468406029756108,1.9231087018940487
ECOR53,N-C-,cAMP_II,Fructose,0.25396173,0.06928886433167081,0.6642209113006158
ECOR53,N-C-,cAMP_II,Acetate,0.12416938,0.058153880448286115,0.3150306063748928
ECOR54,LB,Growth rate expt_I,LB,2.26845262,0.24211356157596362,10.874014193756356
ECOR54,LB,Growth rate expt_II,LB,2.32947423,0.24734865165552675,11.455015596465978
ECOR54,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.677236,0.19139264054102453,6.462893556389703
ECOR54,MOPS,soft_agar expt_I,Glycerol,,,
ECOR54,MOPS,soft_agar expt_I,Glu+CAA,0.568,0.09623044505823913,1.5995571534165682
ECOR54,MOPS,soft_agar expt_I,Gly+CAA,0.6324,0.10175536977136726,1.8092387036500608
ECOR54,MOPS,swimming expt_I,Gly+CAA,0.79,0.11527599298237644,2.3515650247758204
ECOR54,N-C-,Growth rate expt_I,Glucose,0.43201391,0.0845640955352164,1.1776195423980897
ECOR54,N-C-,Growth rate expt_II,Glucose,0.47846063,0.08854879477701363,1.318672912868062
ECOR54,N-C-,Growth rate expt_III,Glucose,0.37278222,0.07948256404637566,1.0021381999001528
ECOR54,N-C-,Growth rate expt_I,Glycerol,0.63798409,0.10223443307635688,1.827733913233805
ECOR54,N-C-,Growth rate expt_II,Glycerol,0.67165025,0.1051226784083464,1.9403290360211496
ECOR54,N-C-,Growth rate expt_III,Glycerol,0.63112779,0.10164622591314848,1.8050320976947516
ECOR54,N-C-,Growth rate expt_I,Acetate,0.06351944,0.052950676219159755,0.1569904833723734
ECOR54,N-C-,Growth rate expt_II,Acetate,0.08380955,0.05469138010380398,0.21011391489975415
ECOR54,N-C-,Growth rate expt_III,Acetate,0.06599894,0.05316339439969083,0.16365486214720867
ECOR54,N-C-,Growth rate expt_I,Maltose,0.695312,0.10715263783894981,2.0205998715005724
ECOR54,N-C-,Growth rate expt_I,Fructose,0.490775,0.08960525389408822,1.3565930948645761
ECOR54,N-C-,Growth rate expt_I,Succinate,0.232423,0.06744104039275164,0.6048881129317042
ECOR54,N-C-,Growth rate expt_I,Lactose,0.62202383,0.10086519029837629,1.7750062807265536
ECOR54,MOPS,Yield expt (in fru_glu),fru_glu,0.572797,0.09664198331676205,1.6149498565236329
ECOR54,MOPS,Yield expt (in mal_glu),mal_glu,0.46668,0.087538125618268,1.2826030937085264
ECOR54,MOPS,Yield expt (in fru_mal),fru_mal,0.11275,0.05717420320029542,0.2852131591179638
ECOR54,N-C-,Yield expt (in glucose),Glucose,0.179409,0.06289292923216509,0.46124302768997966
ECOR54,N-C-,Yield expt (in acetate),Acetate,,,
ECOR54,N-C-,Diauxie expt,Glucose,0.552404,0.0948924524211903,1.5497589150747577
ECOR54,N-C-,Preferred sugar expt_I,Mixed carbon,0.82844078,0.1185738565757603,2.490557844682409
ECOR54,N-C-,Preferred sugar expt_II,Mixed carbon,0.86435263,0.12165476135152349,2.6229290630082702
ECOR54,MOPS,Preferred sugar expt,Mixed carbon,0.670102384,0.10498988581337729,1.9351109213517097
ECOR55,LB,Growth rate expt_I,LB,2.43725859,0.2565955534296369,12.558100502921318
ECOR55,LB,Growth rate expt_II,LB,2.39944209,0.25335124728966785,12.159265912310516
ECOR55,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.846817,0.20594112280464222,7.540626629084493
ECOR55,MOPS,soft_agar expt_I,Glycerol,0.6001,0.09898432833916168,1.7032474214906181
ECOR55,MOPS,soft_agar expt_I,Glu+CAA,1.517,0.17764587289610534,5.550347148173419
ECOR55,MOPS,soft_agar expt_I,Gly+CAA,1.274,0.15679871908725235,4.329738253808492
ECOR55,MOPS,swimming expt_I,Gly+CAA,1.29,0.15817137118989288,4.404744357139178
ECOR55,N-C-,Growth rate expt_I,Glucose,0.43756797,0.08504058254379088,1.19432454174942
ECOR55,N-C-,Growth rate expt_II,Glucose,0.50286108,0.09064212783938082,1.39402700194577
ECOR55,N-C-,Growth rate expt_III,Glucose,0.4299745,0.08438913300867601,1.171496511975874
ECOR55,N-C-,Growth rate expt_I,Glycerol,0.66244565,0.1043330088118486,1.909357752217498
ECOR55,N-C-,Growth rate expt_II,Glycerol,0.59424459,0.09848198828614155,1.6842119976890833
ECOR55,N-C-,Growth rate expt_III,Glycerol,0.64495456,0.10283243497022516,1.8508926027443966
ECOR55,N-C-,Growth rate expt_I,Acetate,0.35006687,0.07753379698764344,0.9361100846898657
ECOR55,N-C-,Growth rate expt_II,Acetate,0.34502574,0.07710131463175693,0.9215501701018736
ECOR55,N-C-,Growth rate expt_III,Acetate,0.36579887,0.07888345716756473,0.981765532037946
ECOR55,N-C-,Growth rate expt_I,Maltose,0.542074,0.09400623390742299,1.516981110658662
ECOR55,N-C-,Growth rate expt_I,Fructose,0.1294,0.058602619294605716,0.3287322548224181
ECOR55,N-C-,Growth rate expt_I,Succinate,0.618508,0.10056356458324961,1.7634466242750875
ECOR55,N-C-,Growth rate expt_I,Lactose,0.47677072,0.0884038161198403,1.313486381177182
ECOR55,MOPS,Yield expt (in fru_glu),fru_glu,0.437755,0.08505662798896318,1.1948878323911643
ECOR55,MOPS,Yield expt (in mal_glu),mal_glu,0.425301,0.08398818990857035,1.1574870747207544
ECOR55,MOPS,Yield expt (in fru_mal),fru_mal,0.347073,0.07727695061573517,0.9274590475500561
ECOR55,MOPS,Yield expt (in galactose),Galactose,0.221554,0.06650858066127666,0.5751629544021319
ECOR55,MOPS,Yield expt (in glycerol),Glycerol,0.469,0.08773716017315088,1.2896905400768621
ECOR55,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.33,0.1616030014464942,4.595383315157364
ECOR55,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.846817,0.20594112280464222,7.540626629084493
ECOR55,LB,R/P expt,LB,2.43725859,0.2565955534296369,12.558100502921318
ECOR55,LB,R/P expt,LB,2.4897,0.2610945416610078,13.133848614969589
ECOR55,MOPS,R/P expt,Glu+CAA+ACGU,1.8468,0.20593966436178318,7.540512149897371
ECOR55,N-C-,R/P expt,Glu+CAA,1.1796,0.14870007168167326,3.90111308392716
ECOR55,N-C-,R/P expt,Glucose,0.3695,0.07920097990985511,0.9925547231585945
ECOR55,N-C-,R/P expt,Glycerol,0.5708,0.09647065917620123,1.608537492623637
ECOR55,N-C-,R/P expt,Glycerol,0.59375,0.09843955703592623,1.6826066200376397
ECOR55,N-C-,R/P expt,Acetate,0.3578,0.07819722805979923,0.9585108420008623
ECOR55,N-C-,Yield expt (in acetate),Acetate,,,
ECOR55,N-C-,Diauxie expt,Glucose,0.604426,0.09935545915141313,1.7173458933037744
ECOR55,N-C-,Preferred sugar expt_I,Mixed carbon,0.78013536,0.11442969805501445,2.316337263465964
ECOR55,N-C-,Preferred sugar expt_II,Mixed carbon,0.76703581,0.1133058777518179,2.2698309721756194
ECOR55,MOPS,Preferred sugar expt,Mixed carbon,0.830751288,0.11877207680478329,2.499000270842699
ECOR59,LB,Growth rate expt_I,LB,2.23172265,0.23896246966656215,10.538196238665432
ECOR59,LB,Growth rate expt_II,LB,2.31491599,0.24609968923385514,11.313693309577475
ECOR59,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.839279,0.20529443208278572,7.4899990565110794
ECOR59,MOPS,soft_agar expt_I,Glycerol,0.6791,0.1057617980959493,1.9654996952858916
ECOR59,MOPS,soft_agar expt_I,Glu+CAA,1.19,0.1495922955483896,3.947201732335464
ECOR59,MOPS,soft_agar expt_I,Gly+CAA,1.171,0.14796227117650396,3.863206993479993
ECOR59,MOPS,swimming expt_I,Gly+CAA,1.14,0.14530275772763795,3.72809222279905
ECOR59,N-C-,Growth rate expt_I,Glucose,0.71393555,0.10875036628058299,2.0844505164358385
ECOR59,N-C-,Growth rate expt_II,Glucose,0.72357567,0.10957739946731468,2.1177369565666213
ECOR59,N-C-,Growth rate expt_I,Glycerol,0.61850269,0.10056310903433305,1.763429180678024
ECOR59,N-C-,Growth rate expt_I,Acetate,0.24882968,0.06884858188021103,0.6500317145868234
ECOR59,N-C-,Growth rate expt_II,Acetate,0.35325363,0.07780719153855661,0.9453315939255986
ECOR59,N-C-,Growth rate expt_I,Maltose,0.759834,0.11268802902436055,2.2443949650028387
ECOR59,N-C-,Growth rate expt_I,Fructose,0.654658,0.10366490042765306,1.8832644467974338
ECOR59,N-C-,Growth rate expt_I,Succinate,0.689485,0.10665273510131941,2.000744100945343
ECOR59,N-C-,Yield expt (in glucose),Glucose,0.71393555,0.10875036628058299,2.0844505164358385
ECOR59,LB,R/P expt,LB,2.3439,0.24858624937569604,11.596780769267358
ECOR59,LB,R/P expt,LB,2.558,0.26695405032415453,13.92614045261349
ECOR59,MOPS,R/P expt,Glu+CAA+ACGU,1.8393,0.20529623368867042,7.490139727397744
ECOR59,N-C-,R/P expt,Glu+CAA,1.3245,0.1611311522862115,4.56890188169159
ECOR59,N-C-,R/P expt,Glucose,0.8237,0.11816714147356304,2.473266960597337
ECOR59,N-C-,R/P expt,Glucose,0.80435,0.11650709033693216,2.4031297158245195
ECOR59,N-C-,R/P expt,Glycerol,0.6166,0.10039987582000974,1.7571816815298036
ECOR59,N-C-,R/P expt,Glycerol,0.62555,0.10116770308992429,1.786620009326912
ECOR59,N-C-,R/P expt,Acetate,0.3955,0.08143153957664596,1.0688709417984923
ECOR59,N-C-,Yield expt (in acetate),Acetate,,,
ECOR59,N-C-,Diauxie expt,Glucose,0.656002,0.10378020320427486,1.8877604649251898
ECOR59,N-C-,Preferred sugar expt,Mixed carbon,0.796754,0.11585542375120357,2.3757872381238925
ECOR59,MOPS,Preferred sugar expt,Mixed carbon,0.957024213,0.129605126555272,2.9762772272031897
ECOR61,LB,Growth rate expt_II,LB,2.40867517,0.25414336020690836,12.255424094363134
ECOR61,LB,Growth rate expt_I,LB,2.32910862,0.24731728569707384,11.451445162368309
ECOR61,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.752395,0.197840588002422,6.9252048325238
ECOR61,MOPS,soft_agar expt_I,Glycerol,,,
ECOR61,MOPS,soft_agar expt_I,Glu+CAA,1.0222,0.13519660662194707,3.2354761277413298
ECOR61,MOPS,soft_agar expt_I,Gly+CAA,1.142,0.145474339240468,3.7367380887584236
ECOR61,MOPS,swimming expt_I,Gly+CAA,1.1,0.14187112747103664,3.5571969319590715
ECOR61,N-C-,Growth rate expt_I,Glucose,0.38003786,0.08010503089025083,1.0233750511199706
ECOR61,N-C-,Growth rate expt_II,Glucose,0.52103698,0.09220145204890481,1.4507310848929504
ECOR61,N-C-,Growth rate expt_I,Glycerol,0.26204533,0.06998236249022736,0.6866369851750749
ECOR61,N-C-,Growth rate expt_I,Acetate,0.31219002,0.07428431337552471,0.827532130680664
ECOR61,N-C-,Growth rate expt_II,Acetate,0.32296143,0.07520840078708116,0.8582182658483933
ECOR61,N-C-,Growth rate expt_I,Maltose,0.129576,0.05861771846773476,0.3291937831196736
ECOR61,N-C-,Growth rate expt_I,Fructose,0.202398,0.06486517293139028,0.523121449505153
ECOR61,N-C-,Growth rate expt_I,Succinate,0.536817,0.09355523190094917,1.5003628473012338
ECOR61,N-C-,Yield expt (in glucose),Glucose,0.4363,0.0849318024383793,1.1905070174352597
ECOR61,MOPS,Yield expt (in galactose),Galactose,0.062012,0.05282135180130948,0.15285717660210316
ECOR61,MOPS,Yield expt (in glu+CAA),Glu+CAA,0.5356,0.09345082455039207,1.4965216961746048
ECOR61,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.752395,0.197840588002422,6.9252048325238
ECOR61,N-C-,Yield expt (in acetate),Acetate,,,
ECOR61,N-C-,Diauxie expt,Glucose,0.544903,0.09424893595732112,1.525941490085021
ECOR61,N-C-,Preferred sugar expt,Mixed carbon,0.491588,0.08967500177905365,1.3591044230620057
ECOR61,MOPS,Preferred sugar expt,Mixed carbon,,,
ECOR61,N-C-,cAMP_I,Glucose,0.45708481,0.08671494701022205,1.2533728625621945
ECOR61,N-C-,cAMP_I,Fructose,0.21618615,0.06604806874945422,0.5605354987521123
ECOR61,N-C-,cAMP_I,Acetate,0.31566513,0.07458244569105014,0.8374157254090691
ECOR61,N-C-,cAMP_II,Glucose,0.41158291,0.08281130459090086,1.1165418553091428
ECOR61,N-C-,cAMP_II,Fructose,0.17559716,0.06256590859523202,0.45104274426149565
ECOR61,N-C-,cAMP_II,Acetate,0.34967204,0.0774999242232881,0.934968508505872
ECOR63,LB,Growth rate expt_I,LB,2.43861162,0.25671163089678917,12.572618422314015
ECOR63,LB,Growth rate expt_II,LB,2.35620516,0.24964191835990404,11.719090339852622
ECOR63,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.508045,0.17687761667240873,5.502058597180188
ECOR63,MOPS,soft_agar expt_I,Glycerol,0.7814,0.11453819247720715,2.32084350608672
ECOR63,MOPS,swimming expt_I,Gly+CAA,0.576,0.0969167711095594,1.6252476761203423
ECOR63,N-C-,Growth rate expt_I,Glucose,0.29724013,0.07300175100410317,0.7851908783142821
ECOR63,N-C-,Growth rate expt_II,Glucose,0.25557335,0.0694271264305244,0.668683492582608
ECOR63,N-C-,Growth rate expt_III,Glucose,0.26133123,0.06992109931107139,0.6846534840356054
ECOR63,N-C-,Growth rate expt_I,Glycerol,0.72404911,0.1096180162430318,2.1193758675793823
ECOR63,N-C-,Growth rate expt_II,Glycerol,0.74785611,0.11166043678100449,2.202296085904597
ECOR63,N-C-,Growth rate expt_III,Glycerol,0.73621512,0.11066174744348466,2.161625605791702
